,open,high,low,close,psar,sma10,sma20,sma50,sma100,sma200,Volume,RSI,BBW,bbhj,bbl
7050,241.87,242.14,241.82,241.96,242.90842522392438,241.6505000000001,242.89825000000042,244.24750000000049,242.60889999999975,237.20492499999986,17340,41.36115921836537,0.028380539,0.029580586,0.010044361787068289
7051,242.71,244.87,242.71,244.71,240.95,242.01850000000007,242.8432500000004,244.2923000000005,242.68219999999977,237.33262499999987,15519,60.22906476865973,0.027101928576476687,0.029580586,0.010044361787068289
7052,244.43,245.48,244.19,245.48,241.02839999999998,242.4355000000001,242.82825000000042,244.34130000000047,242.76729999999975,237.46117499999986,9664,63.74653590717205,0.026680688,0.029580586,0.010044361787068289
7053,245.59,246.06,245.41,245.78,241.20646399999998,242.8855000000001,242.84775000000045,244.3945000000005,242.83139999999975,237.59112499999983,8766,65.04373021507766,0.027217827,0.029580586,0.010044361787068289
7054,245.79,246.03,245.65,245.77,241.4976762,243.26550000000012,242.89775000000046,244.44490000000053,242.89009999999976,237.71977499999986,9529,64.96029163241262,0.028381615319394243,0.029580586,0.010044361787068289
7055,245.88,246.17,245.88,246.05,241.7714156,243.6865000000001,242.93525000000045,244.48430000000056,242.96479999999977,237.85112499999985,5900,66.26520670243507,0.029348864,0.029580586,0.010044361787068289
7056,246.09,246.68,246.09,246.62,242.1233023,244.16250000000008,242.98425000000043,244.52950000000052,243.04439999999977,237.9912749999999,8327,68.81155058795697,0.030744152227708696,0.030744152227708696,0.010044361787068289
7057,246.58,246.73,246.13,246.13,242.57897210885122,244.6065000000001,243.19725000000045,244.5655000000005,243.12359999999975,238.12972499999987,13681,64.31715074958588,0.032377957,0.032377957,0.010044361787068289
7058,246.56,246.7,244.34,244.49,243.07709545578908,244.89000000000004,243.26975000000044,244.5669000000005,243.18649999999977,238.25907499999985,10105,52.06097201411377,0.032688581,0.032688581,0.010044361787068289
7059,244.55,245.32,244.3,245.08,243.51544400109438,245.2070000000001,243.41525000000038,244.5411000000005,243.24669999999978,238.38757499999986,7776,55.356884211530215,0.033007051,0.033007051,0.010044361787068289
7060,244.93,245.26,244.69,245.24,243.90119072096306,245.53500000000008,243.5927500000004,244.5143000000005,243.30129999999974,238.51817499999987,5900,56.23562303470333,0.032926358,0.033007051,0.010044361787068289
7061,245.29,245.49,244.62,244.62,244.2406478344475,245.52600000000007,243.77225000000038,244.4775000000005,243.36049999999975,238.6445749999999,5501,51.96698592930083,0.031617451792189805,0.033007051,0.010044361787068289
7062,244.67,244.69,244.29,244.67,246.73,245.4450000000001,243.9402500000004,244.43850000000054,243.42219999999975,238.77877499999988,6800,52.28156290530038,0.030331956380658814,0.033007051,0.010044361787068289
7063,244.62,245.03,244.62,244.81,246.6812,245.3480000000001,244.11675000000037,244.4167000000005,243.48069999999973,238.91372499999986,7233,53.20567153885148,0.028731258730997557,0.033007051,0.010044361787068289
7064,244.8,245.24,244.53,245.11,246.633376,245.2820000000001,244.27375000000038,244.3947000000005,243.53949999999975,239.05222499999985,17223,55.20746982944286,0.027735436632343142,0.033007051,0.010044361787068289
7065,246.18,246.43,244.93,245.15,246.5865085,245.1920000000001,244.4392500000004,244.38170000000048,243.59979999999973,239.18952499999986,11092,55.480931575772914,0.026303116,0.033007051,0.010044361787068289
7066,245.25,245.32,244.43,245.05,246.54057831039998,245.03500000000014,244.5987500000004,244.3573000000005,243.65629999999976,239.32942499999982,9534,54.583752636621774,0.024498604393827797,0.033007051,0.010044361787068289
7067,244.98,245.47,244.32,244.45,246.4955667,244.8670000000001,244.7367500000004,244.33790000000053,243.68469999999976,239.46747499999984,10226,49.419907735455055,0.021947814,0.033007051,0.010044361787068289
7068,244.44,245.07,244.43,244.7,246.45145540930815,244.8880000000001,244.88900000000035,244.3083000000005,243.72739999999973,239.6061749999998,10561,51.479624001506714,0.018661464207089667,0.033007051,0.010044361787068289
7069,244.65,245.12,244.36,244.97,246.4082263,244.8770000000001,245.04200000000037,244.2835000000005,243.77499999999972,239.69504999999984,6958,53.67375869914561,0.014947548126810527,0.033007051,0.010044361787068289
7070,245.01,245.33,245.01,245.155,246.36586177509955,244.8685000000001,245.20175000000035,244.2684000000005,243.81769999999975,239.78417499999986,6500,55.16966289342767,0.009493581,0.033007051,0.009493581
7071,245.165,245.94,244.99,245.58,246.32434453959755,244.9645000000001,245.24525000000034,244.25360000000052,243.86189999999974,239.8775749999998,13700,58.48610260999003,0.009395706,0.033007051,0.009395706
7072,246.27,247.19,245,245.04,244.29,245.00150000000008,245.22325000000038,244.22480000000047,243.89679999999976,239.96667499999984,10407,53.11001834286217,0.009380495,0.033007051,0.009380495
7073,244.94,246.03,244.84,245.86,244.34799999999998,245.1065000000001,245.22725000000037,244.25600000000048,243.94349999999977,240.06067499999986,3700,59.237462633324924,0.009447578,0.033007051,0.009380495
7074,246.02,246.46,245.97,246.32,244.40483999999998,245.22750000000005,245.25475000000034,244.28160000000048,243.99489999999972,240.15542499999984,6282,62.22002566019305,0.010049842424201256,0.033007051,0.009380495
7075,246.32,246.49,246.19,246.19,244.4605432,245.3315000000001,245.26175000000035,244.30200000000045,244.04289999999972,240.24687499999985,1556,60.864637572979134,0.010207965870676338,0.033007051,0.009380495
7076,246,246.39,245.94,246.39,244.5151323,245.46550000000008,245.25025000000036,244.33220000000046,244.09389999999973,240.33357499999983,2624,62.22788930709536,0.009827035,0.033007051,0.009380495
7077,246.36,246.36,245.85,245.85,244.5686297,245.60550000000006,245.23625000000038,244.3588000000004,244.14129999999975,240.4165249999998,3200,56.504680754944715,0.009540386,0.033007051,0.009380495
7078,245.78,245.99,245.68,245.82,244.6210570954944,245.71750000000011,245.30275000000037,244.3820000000004,244.18349999999973,240.50112499999986,3901,56.19546051,0.009323111,0.033007051,0.009323111
7079,244.86,245.08,244.21,244.43,247.19,245.66350000000006,245.27025000000035,244.3718000000004,244.21279999999973,240.57942499999982,7382,44.14195695707689,0.009804692,0.033007051,0.009323111
7080,244.23,245.14,243.96,245.06,247.1304,245.65400000000008,245.26125000000033,244.37080000000043,244.24119999999976,240.6609749999998,6499,49.43574017342603,0.009833271,0.033007051,0.009323111
7081,245.1,245.27,244.29,244.29,247.00358400000002,245.5250000000001,245.24475000000035,244.34040000000041,244.25829999999976,240.73507499999985,4000,43.95293093264603,0.010183894,0.033007051,0.009323111
7082,244.35,244.35,243.55,243.55,246.8818406,245.37600000000012,245.18875000000034,244.2958000000004,244.26219999999975,240.80467499999983,5962,39.427246939733706,0.011693989753200766,0.033007051,0.009323111
7083,243.5,243.62,243.06,243.15,246.6819302,245.1050000000001,245.10575000000034,244.25100000000043,244.26089999999974,240.86097499999985,7435,37.19765734068304,0.013727571,0.033007051,0.009323111
7084,243.1,243.31,242.57,242.99,246.3921758,244.7720000000001,244.99975000000032,244.21540000000041,244.25549999999978,240.91632499999986,6066,36.31307914969377,0.015661246,0.033007051,0.009323111
7085,242.99,243.48,242.99,243.48,246.0099582069248,244.50100000000012,244.9162500000003,244.17900000000046,244.25459999999978,240.96997499999983,7490,40.94477217897202,0.016555496924432485,0.033007051,0.009323111
7086,244.16,245.16,242.38,245,245.66596238623234,244.36200000000014,244.9137500000003,244.16620000000043,244.27229999999975,241.03332499999982,12738,52.48795194432664,0.016551235,0.033007051,0.009323111
7087,245.13,245.25,244.41,245.21,245.27164689988444,244.2980000000001,244.95175000000026,244.23300000000043,244.28269999999975,241.09652499999982,5933,53.83065871347993,0.016485630828817526,0.033007051,0.009323111
7088,245.3,246.29,245.3,245.91,242.38,244.3070000000001,245.01225000000028,244.2904000000004,244.31639999999973,241.1618749999998,8507,58.08302609146611,0.016794599546016305,0.033007051,0.009323111
7089,246.13,246.51,246.04,246.46,242.4582,244.51000000000013,245.08675000000025,244.37620000000044,244.35639999999975,241.22932499999985,3800,61.11359541387126,0.017558472,0.033007051,0.009323111
7090,246.37,246.45,245.6,245.78,242.620272,244.5820000000001,245.11800000000025,244.45800000000042,244.39619999999977,241.28412499999985,5300,55.747136921178026,0.017728461783172358,0.033007051,0.009323111
7091,245.89,246.03,245.45,245.51,242.7758611,244.7040000000001,245.11450000000028,244.54760000000044,244.43149999999977,241.33002499999986,11000,53.72968242328421,0.017706159,0.033007051,0.009323111
7092,245.57,245.785,245.24,245.56,242.9252267,244.90500000000011,245.14050000000026,244.63260000000045,244.47059999999976,241.37752499999988,10696,54.061234251425056,0.017771602212183036,0.033007051,0.009323111
7093,245.77,247.58,245.77,247.53,243.0686176,245.34300000000013,245.22400000000025,244.75760000000045,244.53579999999977,241.43102499999986,7767,64.77194928423397,0.019566082219859088,0.033007051,0.009323111
7094,247.5,248.48,247.46,248.02,243.3393005517005,245.8460000000001,245.30900000000025,244.87860000000043,244.61129999999972,241.48407499999988,4892,66.84272251910761,0.021647291058335565,0.033007051,0.009323111
7095,247.79,248.2,247.79,248.04,243.75055650756445,246.30200000000008,245.40150000000025,245.00260000000046,244.67849999999973,241.54387499999987,3282,66.92817421782541,0.023553056,0.033007051,0.009323111
7096,247.99,247.99,247.1,247.37,244.1289119869593,246.53900000000013,245.4505000000003,245.11280000000045,244.72299999999973,241.59877499999985,3154,61.234801191698125,0.024338605946868614,0.033007051,0.009323111
7097,247.38,248.25,247.38,248.23,244.47699902800255,246.84100000000012,245.56950000000023,245.24360000000047,244.77249999999975,241.66882499999988,2200,65.31356586391593,0.026237523682284117,0.033007051,0.009323111
7098,248.15,248.62,247.96,248.33,244.79723910576234,247.08300000000017,245.69500000000025,245.37710000000047,244.82299999999978,241.74157499999987,7200,65.76463983453282,0.027994411539379406,0.033007051,0.009323111
7099,248.37,248.7,247.96,247.96,245.1795151951861,247.23300000000017,245.87150000000025,245.49810000000045,244.87589999999975,241.8136249999999,7200,62.524776672207736,0.028653645921060556,0.033007051,0.009323111
7100,246.73,246.73,244.45,244.45,248.7,247.10000000000014,245.84100000000026,245.54790000000045,244.89769999999976,241.8661249999999,14234,41.59176715953336,0.028965826,0.033007051,0.009323111
7101,244.43,246.04,244.13,246.04,248.7,247.15300000000016,245.92850000000027,245.57450000000046,244.93339999999975,241.92277499999986,6166,49.79201543031263,0.028374299,0.033007051,0.009323111
7102,246.23,246.82,246.23,246.39,248.5172,247.23600000000016,246.07050000000027,245.59270000000043,244.96699999999976,241.98252499999987,3200,51.40921080573143,0.026961333821209955,0.033007051,0.009323111
7103,246.34,246.7,246.3,246.4,248.341712,247.12300000000013,246.23300000000026,245.60510000000042,244.99979999999974,242.04577499999985,2300,51.457320222173465,0.024655166372792216,0.033007051,0.009323111
7104,246.3,246.62,246.2,246.33,248.1732435,246.95400000000012,246.40000000000026,245.61630000000042,245.03059999999977,242.10997499999988,4200,51.07609942660795,0.021476665331877087,0.033007051,0.009323111
7105,246.33,246.39,245.45,245.78,248.0115138,246.72800000000012,246.51500000000027,245.6109000000004,245.04759999999973,242.16717499999987,6939,48.06315561855287,0.018712290464026542,0.033007051,0.009323111
7106,245.86,246.17,245.56,245.62,247.8562532,246.55300000000017,246.54600000000028,245.5909000000004,245.06019999999972,242.22087499999986,8857,47.19103848355573,0.018169848877325832,0.033007051,0.009323111
7107,244.24,244.61,242.08,242.76,247.7072030989107,246.00600000000014,246.42350000000027,245.5235000000004,245.04449999999972,242.26137499999987,13185,34.97457048496621,0.022177468112130692,0.033007051,0.009323111
7108,242.87,243.62,242.31,243.11,247.36957091297606,245.4840000000001,246.2835000000003,245.4959000000004,245.0313999999997,242.30327499999987,9424,37.11986196589237,0.025071093543640444,0.033007051,0.009323111
7109,243.26,243.85,242.94,242.94,247.0521966581975,244.9820000000001,246.10750000000024,245.4531000000004,244.99709999999973,242.34377499999988,8525,36.49014666217847,0.027722159856764707,0.033007051,0.009323111
7110,242.93,243.29,242.81,243.16,246.75386485870564,244.85300000000012,245.9765000000003,245.41150000000042,244.9628999999997,242.3910749999999,3679,37.95700803131091,0.029635311144476352,0.033007051,0.009323111
7111,243.11,243.18,242.51,242.96,246.4734329671833,244.54500000000013,245.8490000000003,245.3783000000004,244.9278999999997,242.4271749999999,5256,37.117700684001775,0.031502635672421564,0.033007051,0.009323111
7112,242.87,243.16,242.57,243.04,246.2098269891523,244.21000000000012,245.72300000000033,245.3457000000004,244.8920999999997,242.46682499999986,4000,37.71101521,0.033055486108748776,0.033055486108748776,0.009323111
7113,242.95,243.87,242.95,243.86,245.96203736980317,243.95600000000013,245.53950000000032,245.3267000000004,244.8716999999997,242.50797499999987,10183,43.58655457894944,0.032986207986379835,0.033055486108748776,0.009323111
7114,245,245.45,244.09,244.38,245.7291151,243.7610000000001,245.35750000000036,245.31210000000038,244.8533999999997,242.55222499999985,8734,47.00069099601087,0.031890467,0.033055486108748776,0.009323111
7115,244.62,244.8,243.54,244.32,245.5101682199581,243.61500000000015,245.17150000000032,245.2955000000004,244.83859999999967,242.59597499999984,6044,46.649873450850166,0.030461331750679117,0.033055486108748776,0.009323111
7116,244.32,244.93,244.32,244.62,245.45,243.5150000000001,245.03400000000033,245.28690000000043,244.8220999999997,242.63967499999987,6476,48.71123418274324,0.029386189382006017,0.033055486108748776,0.009323111
7117,244.59,244.76,244.18,244.39,245.24779999999998,243.6780000000001,244.84200000000033,245.2857000000004,244.81179999999966,242.6786249999999,4939,47.20531821266632,0.026912588,0.033055486108748776,0.009323111
7118,244.44,244.65,244.31,244.41,245.057732,243.80800000000008,244.64600000000036,245.27990000000042,244.7940999999997,242.71767499999987,5600,47.35772107741699,0.023559625792248507,0.033055486108748776,0.009323111
7119,244.45,244.56,244.26,244.27,244.8790681,243.9410000000001,244.46150000000034,245.2659000000004,244.77469999999968,242.7549249999999,4514,46.3491024,0.020041302586421228,0.033055486108748776,0.009323111
7120,244.2,244.62,244.15,244.32,244.71112399519998,244.05700000000007,244.45500000000038,245.24920000000043,244.7587999999997,242.7881749999999,6911,46.78501239688004,0.020048195181164023,0.033055486108748776,0.009323111
7121,244.3,244.66,243.62,243.62,242.08,244.12300000000005,244.33400000000037,245.21000000000043,244.73179999999968,242.8184249999999,7300,41.67933536688216,0.01934121,0.033055486108748776,0.009323111
7122,243.7,244.04,243.11,243.7,242.13160000000002,244.18900000000008,244.19950000000034,245.18320000000043,244.7039999999997,242.8517249999999,4463,42.452285192072154,0.017841662501907957,0.033055486108748776,0.009323111
7123,243.64,244.21,243.64,244.12,242.18216800000002,244.21500000000006,244.0855000000003,245.14840000000044,244.7021999999997,242.8891749999999,3402,46.46390283745141,0.015817609522226318,0.033055486108748776,0.009323111
7124,243.98,244.63,243.98,244.12,242.2317246,244.18900000000008,243.9750000000003,245.10440000000042,244.6929999999997,242.9244249999999,2800,46.463902837451414,0.013395878574488866,0.033055486108748776,0.009323111
7125,244.07,245.56,244.06,245.28,242.28029014720002,244.28500000000008,243.95000000000033,245.08620000000042,244.6940999999997,242.9700249999999,5150,56.235976984081994,0.012586295060447686,0.033055486108748776,0.009323111
7126,245.45,245.62,245.12,245.12,242.41147854131202,244.3350000000001,243.92500000000032,245.06080000000043,244.69649999999973,243.0112249999999,9936,54.75146912936445,0.011797737089813985,0.033055486108748776,0.009323111
7127,245.06,245.79,245.06,245.62,242.6039898288333,244.45800000000008,244.06800000000035,245.05620000000042,244.7074999999997,243.0571749999999,9200,58.44331730458308,0.012405155275894635,0.033055486108748776,0.009323111
